0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,,,raffinose,,05_raffinose,[5],CHEBI:16634,derived from,,,raffinose family of oligosaccharide (rfo),CHEBI:74961,raffinose,CHEBI:16634,derived from
,,,,,,galactose,06_galactose,[6],CHEBI:28260,derived from,,,raffinose derived from raffinose family of oligosaccharide (rfo),,galactose,CHEBI:28260,derived from
,,,,,,glucose,06_glucose,[6],CHEBI:17234,derived from,,,raffinose derived from raffinose family of oligosaccharide (rfo),,glucose,CHEBI:17234,derived from
,,,,,,fructose ,06_fructose ,[6],CHEBI:28757,derived from,,,raffinose derived from raffinose family of oligosaccharide (rfo),,fructose,CHEBI:28757,derived from
,,,,,stachyose,,05_stachyose,[5],CHEBI:17164,derived from,,,raffinose family of oligosaccharide (rfo),CHEBI:74961,stachyose,CHEBI:17164,derived from
,,,,,,galactose,06_galactose,[6],CHEBI:28260,derived from,,,stachyose derived from raffinose family of oligosaccharide (rfo),,galactose,CHEBI:28260,derived from
,,,,,,glucose,06_glucose,[6],CHEBI:17234,derived from,,,stachyose derived from raffinose family of oligosaccharide (rfo),,glucose,CHEBI:17234,derived from
,,,,,,fructose ,06_fructose ,[6],CHEBI:28757,derived from,,,stachyose derived from raffinose family of oligosaccharide (rfo),,fructose,CHEBI:28757,derived from
,,,,,verbascose,,05_verbascose,[5],CHEBI:28586,derived from,,,raffinose family of oligosaccharide (rfo),CHEBI:74961,verbascose,CHEBI:28586,derived from
,,,,,,galactose,06_galactose,[6],CHEBI:28260,derived from,,,verbascose derived from raffinose family of oligosaccharide (rfo),,galactose,CHEBI:28260,derived from
,,,,,,glucose,06_glucose,[6],CHEBI:17234,derived from,,,verbascose derived from raffinose family of oligosaccharide (rfo),,glucose,CHEBI:17234,derived from
