CHEBI:16038	#phosphatidylethanolamine
CHEBI:28874	#phosphatidylinositol
CHEBI:16247	#phospholipid
CHEBI:28659	#phosphorus
CHEBI:17401	#phytic acid
CHEBI:26119	#phytoene
CHEBI:26125	#phytosterol
CHEBI:28157	#pinocembrin
CHEBI:26191	#polyol
CHEBI:26195	#polyphenol
CHEBI:18154	#polysaccharide
CHEBI:26208	#polyunsaturated fatty acid
CHEBI:66773	#poncirin
CHEBI:26216	#potassium
CHEBI:166966	#prenylated and related xanthones
CHEBI:26267	#proanthocyanidin
CHEBI:75633	#procyanidin dimer b1
CHEBI:75632	#procyanidin dimer b2
CHEBI:75630	#procyanidin dimer b3
CHEBI:27589	#procyanidin dimer b4
CHEBI:75621	#procyanidin dimer b5
CHEBI:75619	#procyanidin dimer b6
CHEBI:75643	#procyanidin trimer c1
CHEBI:75644	#procyanidin trimer c2
CHEBI:166895	#procyanidins
CHEBI:166885	#prolamin
CHEBI:26271	#proline
CHEBI:30768	#propionic acid
CHEBI:36080	#protein
CHEBI:73033	#pterocarpan
CHEBI:26377	#pterocarpans
CHEBI:16709	#pyridoxine (b6)
CHEBI:32816	#pyruvic acid
CHEBI:16243	#quercetin
CHEBI:26493	#quinic acid
CHEBI:16634	#raffinose
CHEBI:74961	#raffinose family of oligosaccharide (rfo)
CHEBI:50211	#retinol
CHEBI:26543	#rhamnogalacturonan
CHEBI:26546	#rhamnose
CHEBI:31227	#rhoifolin
CHEBI:17015	#riboflavin (b2)
CHEBI:33942	#ribose
CHEBI:71543	#rotenoid
CHEBI:33322	#rubidium
CHEBI:28927	#sakuranetin
CHEBI:16914	#salicylic acid
CHEBI:24866	#salt
CHEBI:26607	#saturated fatty acid
CHEBI:17488	#scopoletin
CHEBI:9062	#scutellarein
CHEBI:17822	#serine
CHEBI:26658	#sesquiterpoid
CHEBI:16119	#shikimic acid
CHEBI:125451	#silymarin
CHEBI:166965	#simple oxygenated xanthones
CHEBI:77131	#sinapic acid
CHEBI:9159	#sinensetin
CHEBI:27693	#sitosterol
CHEBI:26708	#sodium
CHEBI:26710	#sodium chloride
CHEBI:50207	#sophoraflavanone b
CHEBI:17164	#stachyose
CHEBI:28017	#starch
CHEBI:28842	#stearic acid
CHEBI:32389	#stearidonic acid
CHEBI:15889	#sterol
CHEBI:89400	#stigmastanol
CHEBI:89400	#stigmastanol
CHEBI:28824	#stigmasterol
CHEBI:26775	#stilbene
CHEBI:26776	#stilbenoid
CHEBI:15741	#succinic acid
CHEBI:17992	#sucrose
CHEBI:26833	#sulfur
CHEBI:68329	#syringic acid
CHEBI:9400	#tangeretin
CHEBI:26848	#tannin
CHEBI:26849	#tartaric acid
CHEBI:15891	#taurine
CHEBI:26873	#terpenoid
CHEBI:28866	#tetracosanoic acid
CHEBI:136609	#theaflavin
CHEBI:28946	#theobromine
CHEBI:26948	#thiamine (b1)
CHEBI:26986	#threonine
CHEBI:27013	#tocopherol
CHEBI:33235	#tocotrienol
CHEBI:140677	#trans-beta-carotene
CHEBI:166968	#trans-fatty acid
CHEBI:27082	#trehalose
CHEBI:17855	#triglyceride
CHEBI:36615	#triterpenoid
CHEBI:27897	#tryptophan
CHEBI:18186	#tyrosine
CHEBI:36023	#vaccenic acid
CHEBI:27266	#valine
CHEBI:30816	#vanillic acid
CHEBI:28586	#verbascose
CHEBI:27295	#violaxanthin
CHEBI:33229	#vitamin
CHEBI:12777	#vitamin A
CHEBI:75769	#B vitamin
CHEBI:21241	#vitamin C
CHEBI:27300	#vitamin D
CHEBI:33234	#vitamin E
CHEBI:28384	#vitamin K
CHEBI:16954	#vitexin
CHEBI:15377	#water
CHEBI:27314	#water soluble vitamin
CHEBI:66331	#xanthohumol
CHEBI:83231	#xanthone glycoside
CHEBI:51149	#xanthones
CHEBI:166894	#xanthonolignoid
CHEBI:27325	#xanthophyll
CHEBI:37166	#xylan
CHEBI:17151	#xylitol
CHEBI:18233	#xyloglucan
CHEBI:18222	#xylose
CHEBI:27547	#zeaxanthin
CHEBI:24913	#isoprenoid
CHEBI:35186	#terpene
CHEBI:35193	#tetraterpene
CHEBI:23042	#carotene
CHEBI:26873	#terpenoid
CHEBI:26935	#tetraterpenoid
CHEBI:23044	#carotenoid
CHEBI:25322	#methylmercury compound
CHEBI:49105	#thiamine hydrochloride
